code,name,cat,verdict,detail
017692,华泰紫金恒荣12个月持有期混合发起C,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-17
026698,人保安悦债券C,bond_periodic,no_series,
017160,中欧颐享平衡养老目标三年持有混合发起(FOF)A,fof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-21
027119,富国盈和优选6个月持有期混合(FOF)A,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
041002,华安中国A股增强指数(后端),other,no_series,
158003,港股通医疗ETF嘉实,etf_lof,no_series,
180102,华夏合肥高新REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2022-09-19
180901,南方润泽科技数据中心REIT,reits,no_series,
270012,广发稳健增长混合A(后端),other,no_series,
270017,广发大盘成长混合(后端),other,no_series,
519681,交银增利债券A/B(后端),money_market,no_series,
511081,长盛动态精选混合(后端),other,no_series,
028042,宏利港股数字经济混合发起(QDII)C,qdii_other,no_series,
027909,汇添富睿启量化选股混合,other,no_series,
508048,华安外高桥REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-12-11
028224,永赢承鑫混合C,backend_share,no_series,
028333,嘉实多瑞混合C,backend_share,no_series,
006946,宝盈聚享定期开放债券,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-12
028490,汇添富稳利多资产三个月持有混合(FOF)C,fof,no_series,
158019,电池ETF永赢,etf_lof,no_series,
008433,凯石岐短债A,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-17
028222,摩根恒生生物科技ETF发起式联接C,etf_lof,no_series,
002343,融通增益债券A/B(后端),bond_periodic,no_series,
026776,百嘉百泽60天持有纯债债券A,bond_periodic,no_series,
012489,招商招顺纯债D,bond_periodic,no_series,
016713,长信均衡策略一年持有混合A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-28
027443,东方红中证价值领先指数C,backend_share,no_series,
016734,安信永泽一年定开债券发起式,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-21
026985,京管泰富京享混合C,backend_share,no_series,
161657,融通巨潮100指数A(LOF)(后端),etf_lof,no_series,
128005,国投瑞银创新动力混合(后端),other,no_series,
000012,华夏大盘精选混合A(后端),other,no_series,
051011,博时信用债券A/B(后端),bond_periodic,no_series,
201002,长城久泰沪深300指数A(后端),other,no_series,
519693,交银成长混合(后端),other,no_series,
091002,大成债券A/B(后端),bond_periodic,no_series,
180503,中航北京昌保租赁住房REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-20
960013,汇添富价值精选混合O,other,no_series,
027281,招商北证50成份指数增强发起式A,other,no_series,
027100,平安盈和6个月持有混合(FOF)C,fof,no_series,
028280,汇添富多资产优选三个月持有混合(FOF)C,fof,no_series,
027938,光大保德信稳健丰盈三个月持有期混合(ETF-FOF)C,fof,no_series,
028288,景顺长城景颐聚利六个月持有期债券C,bond_periodic,no_series,
202018,南方深证成份ETF联接A(后端),etf_lof,no_series,
002050,融通新机遇灵活配置混合(后端),other,no_series,
005132,海富通盈鑫货币B,money_market,no_series,
019056,百嘉百川30天持有纯债债券A,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-06
026581,景顺长城盈景积极配置6个月持有混合(FOF)C,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
017495,泰康中证科创创业50指数A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-11
026735,摩根恒生港股通50ETF联接C,etf_lof,no_series,
018251,华泰保兴科睿一年持有混合发起C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-11
018564,嘉实中证全指家用电器指数发起式A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-31
027606,易方达上证科创板芯片设计主题ETF联接A,etf_lof,no_series,
027618,富国智远稳健6个月持有期混合(FOF)A,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
026945,中欧盈福稳健6个月持有混合(FOF)A,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
027747,易方达中证全指红利质量ETF联接发起式A,etf_lof,no_series,
027748,易方达中证全指红利质量ETF联接发起式C,etf_lof,no_series,
027222,长城均衡回报混合发起C,backend_share,no_series,
027783,宝盈中证工业有色金属主题指数发起式C,backend_share,no_series,
027860,易方达智享混合A,other,no_series,
100023,富国天瑞强势混合A(后端),other,no_series,
041009,华安稳定收益债券A(后端),bond_periodic,no_series,
070028,嘉实安心货币A,money_market,stale_only,Data_millionCopiesIncome@2025-07-04
180801,中航首钢绿能REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-12-30
027450,交银港股消费混合(QDII)A,qdii_other,no_series,
960016,交银成长混合H,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-28
027522,广发产业优选混合A,other,no_series,
027651,东财农业智选混合发起式C,backend_share,no_series,
519691,交银稳健配置混合(后端),other,no_series,
161656,融通行业景气混合A(后端),other,no_series,
028359,中银稳进增益债券A,bond_periodic,no_series,
000842,富国新回报灵活配置混合A/B(后端),other,no_series,
027850,华安共赢回报混合A,other,no_series,
027901,兴全盈旭多元配置三个月持有混合(FOF)A,fof,no_series,
027099,平安盈和6个月持有混合(FOF)A,fof,no_series,
017984,泰康薪意保货币D,money_market,no_series,
